likecount,commentcount,repostcount,total engagements,conversion,spend,impressions,face area percentage %,number of objects,primary object area percentage %,secondary object area percentage %,text length,logo 1 area percentage %,logo 2 area percentage %,number of persons,person area,text area %,sentiment_score_vader,time_minutes,day_numeric,width,height,language_map,type_mapped,company_map,topic_map,objects,primary object,secondary object,text,dominant colour,logos,logo 1 name,person area %,style,tone,voice,sentiment,empty space %
-5.154248,1.665301,0.28452435,31.372843,14.736686,3.17,158,13.44401042,2.0,34.49039854,3.776955983,1.0,0.0,0.0,1.0,34.49039854,1.138888889,0.8313,396,5,640,360,1,3,3,6,11,12,10,51,4,0,0,1,0,0,0,0,3
96.35761,2.6923652,8.655791,22.258854,36.63028,0.12,22,0.0,0.0,0.0,0.0,125.0,0.584629187,0.0,0.0,0.0,9.011363636,0.92,396,5,800,418,1,1,3,1,0,0,0,28,2,9,9,0,1,1,1,2,3
18.885761,-0.25325513,-0.32307693,32.791275,12.713454,1.01,339,1.5625,6.0,25.24874625,22.8609787,56.0,4.766666667,0.0,2.0,48.10972495,12.41083333,0.9118,396,5,800,450,1,7,3,1,19,12,18,54,21,9,9,1,0,0,0,0,1
102.70713,6.2569838,26.935413,131.89801,1.9788299,39.32,3054,0.0,1.0,1.219231298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8074,396,5,800,599,1,7,4,2,5,3,0,2,11,0,0,3,0,0,0,0,3
80.5138,-0.51375055,4.943729,62.112656,18.857792,5.68,433,0.0,1.0,77.85351549,0.0,229.0,0.0,0.0,0.0,0.0,13.25029904,0.296,396,5,800,418,1,1,1,2,2,2,0,22,1,0,0,3,0,0,0,0,2
69.48617,1.7225864,5.8457165,44.556557,10.24358,1.62,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,396,5,100,100,1,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,3
21.45592,-0.36945254,1.1862819,0.895092,8.392301,10.76,449,2.539930556,2.0,34.06711558,28.83566046,0.0,0.0,0.0,2.0,62.90277604,0.0,0.8442,396,5,640,360,1,3,3,1,45,12,18,2,12,0,0,1,0,0,0,0,1
58.511974,2.3342748,3.3946981,63.203495,22.056095,5.24,270,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,25.20052083,0.2547,396,5,640,360,1,3,3,4,0,0,0,75,2,0,0,0,0,0,0,0,3
-0.48328146,0.8364074,4.79819,48.903652,18.640266,1.86,150,0.328125,3.0,7.724310682,6.84351,121.0,0.0,0.0,1.0,7.724310682,19.33376736,0.9085,396,5,640,360,1,3,3,6,39,12,7,31,4,0,0,3,1,1,1,2,3
18.637087,3.0562258,3.2872024,19.555819,24.142694,3.74,336,0.0,0.0,0.0,0.0,189.0,2.30625,0.0,0.0,0.0,14.739375,0.5707,416,5,800,400,1,1,2,6,0,0,0,66,1,17,14,0,0,0,0,0,3
